coin,epoch,gamma,theta,curr_power,cumsum_realized,simple_fixed,baseline_fixed,baseline_fixed_walk,simple_moving,baseline_moving,simple_fixed_pct,baseline_fixed_pct,baseline_fixed_walk_pct,simple_moving_pct,baseline_moving_pct,date
FIL,10001,0.7,0.0,5.813372604038966e+17,5.813372604038966e+21,362499.64335951966,845832.5011722123,0.0,362499.64335951966,845832.5011722123,0.11018888106585438,0.11018888106585437,0.0,0.08677951714266086,0.1239723522029045,2020-10-01
FIL,60001,0.7,10090.550405000313,5.932055520455268e+17,3.517972724714764e+22,2168853.4621649785,5060658.078384949,853402.0095374184,2168853.4621649785,5060658.078384949,0.6592655760346346,0.6592655760346345,0.11555040922716417,0.5192061830891245,0.7417327719170693,2020-11-01
FIL,150001,0.7,28563.74221929407,6.080292377538344e+17,8.937976113018077e+22,5395382.597077989,12589226.059848638,2413310.6081025456,5395382.597077989,12589226.059848638,1.6400324308859615,1.6400324308859613,0.3267616261059187,1.2916114681800768,1.8451832542383897,2020-12-01
FIL,240001,0.7,47275.89351171269,6.243086749980402e+17,1.4496891228290075e+23,8590156.084706156,20043697.530981023,3990172.0855848286,8590156.084706156,20043697.530981023,2.6111465335044577,2.6111465335044572,0.5402682583628462,2.0564147051354995,2.9377735264553824,2021-01-01
FIL,330001,0.7,66185.01956166732,6.417395106630559e+17,2.018520774105986e+23,11753486.465582127,27424801.753024958,5580341.836629979,11753486.465582127,27424801.753024958,3.572702886718984,3.572702886718984,0.7555768273847574,2.8136907136607565,4.019610475252495,2021-02-01
FIL,410001,0.7,83287.70424920216,6.63524814865164e+17,2.5397377490871235e+23,14539189.254590442,33924774.92737769,7015754.984727668,14539189.254590442,33924774.92737769,4.4194719220154575,4.4194719220154575,0.9499313927819547,3.4805656950889468,4.9723014188654835,2021-03-01
FIL,500001,0.7,103031.9717536032,6.883420007952474e+17,3.148750356610191e+23,17643968.978977855,41169260.95094832,8669522.143084254,17643968.978977855,41169260.95094832,5.363230654067232,5.363230654067232,1.1738510341455006,4.223825144449141,6.034114451112939,2021-04-01
FIL,590001,0.7,123383.25639679738,7.262637100591802e+17,3.7860401036192616e+23,20718191.31934601,48342446.41180734,10370381.21414644,20718191.31934601,48342446.41180734,6.297700869523028,6.297700869523027,1.404146908191427,4.95976940032181,7.085477070943637,2021-05-01
FIL,670001,0.7,141972.69338865828,7.450840300805684e+17,4.3740528951403235e+23,23425423.481806327,54659321.45754809,11920672.987515423,23425423.481806327,54659321.45754809,7.120617217805172,7.120617217805171,1.6140560094500382,5.607859140974014,8.011331607045067,2021-06-01
FIL,760001,0.7,163462.1521162018,7.807340396008433e+17,5.0642013347945164e+23,26442744.482589908,61699737.1260431,13708873.706675349,26442744.482589908,61699737.1260431,8.037791154340896,8.037791154340896,1.8561779198393045,6.330181670965361,9.043234365215156,2021-07-01
FIL,850001,0.7,185469.0922477581,8.129273057007279e+17,5.780693478388315e+23,29430368.872111153,68670860.70159268,15535763.954585496,29430368.872111153,68670860.70159268,8.945938223053748,8.945938223053748,2.103538382317659,7.0453950695869905,10.06498108925366,2021-08-01
