coin,epoch,gamma,theta,curr_power,cumsum_realized,simple_fixed,baseline_fixed,baseline_fixed_walk,simple_moving,baseline_moving,simple_fixed_pct,baseline_fixed_pct,baseline_fixed_walk_pct,simple_moving_pct,baseline_moving_pct,date
FIL,10001,0.7,0.0,5.813372604038966e+17,5.813372604038966e+21,362499.64335951966,845832.5011722123,0.0,362499.64335951966,845832.5011722123,0.11018888106585438,0.11018888106585437,0.0,0.08677951714266086,0.1239723522029045,2020-10-01
FIL,30001,0.7,4027.629670259877,5.852117386905842e+17,1.7502956050886949e+22,1086232.4738049903,2534542.43887831,340747.7551105043,1086232.4738049903,2534542.43887831,0.3301816789575709,0.33018167895757083,0.046137157056377796,0.26003537191893794,0.3714839373875707,2020-10-01
FIL,50001,0.7,8066.973473083528,5.880990202318675e+17,2.924767172669237e+22,1808376.318745766,4219544.74374012,682335.1063745065,1808376.318745766,4219544.74374012,0.5496914735194922,0.5496914735194922,0.09238799521268037,0.432910836266231,0.618452100601369,2020-10-01
FIL,70001,0.7,12128.966587300667,5.952575457646573e+17,4.113230270479421e+22,2528934.666865586,5900847.556019699,1025684.9186238503,2528934.666865586,5900847.556019699,0.7687193252055103,0.7687193252055103,0.1388774701261351,0.6054067453475418,0.8648780349498296,2020-11-01
FIL,90001,0.7,16217.605997544728,5.991831720070726e+17,5.309409254489648e+22,3247910.9991885987,7578458.998106728,1371132.3241195984,3247910.9991885987,7578458.998106728,0.9872662921412343,0.9872662921412342,0.18565095861737074,0.7775239324922276,1.1107629309189564,2020-11-01
FIL,110001,0.7,20328.434470042703,6.029938056897193e+17,6.515188518917526e+22,3965308.7890962167,9252387.174557837,1718298.0227818678,3965308.7890962167,9252387.174557837,1.2053334301291134,1.2053334301291132,0.2326571035546246,0.9492632292000357,1.3561079763809905,2020-11-01
FIL,130001,0.7,24445.421900956077,6.045832001414026e+17,7.723817213385057e+22,4681131.502343932,10922640.17213584,2065826.6983662564,4681131.502343932,10922640.17213584,1.4229217926535487,1.4229217926535487,0.2797123954723427,1.1206254651451288,1.6009143566001618,2020-11-01
FIL,150001,0.7,28563.74221929407,6.080292377538344e+17,8.937976113018077e+22,5395382.597077989,12589226.059848638,2413310.6081025456,5395382.597077989,12589226.059848638,1.6400324308859615,1.6400324308859613,0.3267616261059187,1.2916114681800768,1.8451832542383897,2020-12-01
FIL,170001,0.7,32695.674474063562,6.113640585669297e+17,1.015933405088528e+23,6108065.523852122,14252152.888988283,2761785.013133725,6108065.523852122,14252152.888988283,1.8566663936898802,1.85666639368988,0.37394496954375694,1.4622220643398631,2.0889158493610087,2020-12-01
FIL,190001,0.7,36844.1914252287,6.147364922870769e+17,1.1388961611737026e+23,6819183.725644304,15911428.69317004,3111498.9637091486,6819183.725644304,15911428.69317004,2.0728247276260316,2.0728247276260316,0.4212961471245811,1.6324580778458948,2.332113319442496,2020-12-01
FIL,210001,0.7,41004.74318087569,6.201122262066817e+17,1.262752344989528e+23,7528740.637873232,17567061.488370873,3462067.3338700803,7528740.637873232,17567061.488370873,2.288508476957354,2.288508476957354,0.4687630128941531,1.8023203311099485,2.574776839372108,2020-12-01
FIL,230001,0.7,45185.18880884546,6.226765540550441e+17,1.3872582553292034e+23,8236739.6884149965,19219059.272968322,3814150.556322322,8236739.6884149965,19219059.272968322,2.5037186836540593,2.5037186836540593,0.5164349892683678,1.9718096447381606,2.816907581459583,2020-12-01
FIL,250001,0.7,49369.18867822773,6.256987911345068e+17,1.512259001942458e+23,8943184.297619712,20867430.027779322,4166371.1983916294,8943184.297619712,20867430.027779322,2.718456387398694,2.718456387398694,0.5641255722228464,2.1409268375350092,3.0585067154408283,2021-01-01
FIL,270001,0.7,53556.84504761993,6.267729681582684e+17,1.6375188740956026e+23,9648077.878327899,22512181.716098424,4518737.52428338,9648077.878327899,22512181.716098424,2.932722625591116,2.932722625591115,0.6118358807288388,2.3096727265072374,3.299575408483521,2021-01-01
FIL,290001,0.7,57745.50971734302,6.318813108532861e+17,1.763558481078983e+23,10351423.835887114,24153322.283736594,4871026.507451966,10351423.835887114,24153322.283736594,3.146518433353547,3.146518433353547,0.6595357170503126,2.47804812686783,3.5401148251927994,2021-01-01
FIL,310001,0.7,61951.31969744295,6.371908681242564e+17,1.8904813511607898e+23,11053225.568168258,25790859.659059264,5224594.375655866,11053225.568168258,25790859.659059264,3.359844843535536,3.359844843535536,0.7074087140715897,2.6460538520399215,3.780126127616835,2021-01-01
FIL,330001,0.7,66185.01956166732,6.417395106630559e+17,2.018520774105986e+23,11753486.465582127,27424801.753024958,5580341.836629979,11753486.465582127,27424801.753024958,3.572702886718984,3.572702886718984,0.7555768273847574,2.8136907136607565,4.019610475252495,2021-02-01
FIL,350001,0.7,70439.92923125825,6.432844857913824e+17,2.1472583526631932e+23,12452209.911095688,29055156.459223267,5937704.778676642,12452209.911095688,29055156.459223267,3.7850935912230965,3.785093591223096,0.8039636764132687,2.980959521585587,4.258569025050912,2021-02-01
FIL,370001,0.7,74694.35044814013,6.490840031343299e+17,2.2767678253348577e+23,13149399.280248454,30681931.653913055,6294859.659481912,13149399.280248454,30681931.653913055,3.997017983109356,3.9970179831093557,0.8523223540040302,3.147861083891592,4.497002931423079,2021-02-01
FIL,390001,0.7,78973.45052589067,6.555065463115901e+17,2.4074528437597204e+23,13845057.941168856,32305135.196060658,6653917.904197723,13845057.941168856,32305135.196060658,4.2084770861865035,4.208477086186503,0.9009387465712193,3.3143962068817956,4.73491334624545,2021-02-01
FIL,410001,0.7,83287.70424920216,6.63524814865164e+17,2.5397377490871235e+23,14539189.254590442,33924774.92737769,7015754.984727668,14539189.254590442,33924774.92737769,4.4194719220154575,4.4194719220154575,0.9499313927819547,3.4805656950889468,4.9723014188654835,2021-03-01
FIL,430001,0.7,87635.05694962613,6.68914412842915e+17,2.6731474210320885e+23,15231796.573868107,35540858.672358915,7380194.586577354,15231796.573868107,35540858.672358915,4.630003509914253,4.630003509914253,0.9992764196997402,3.6463703512794043,5.209168296107185,2021-03-01
FIL,450001,0.7,92006.14187092091,6.744550958900348e+17,2.8076821062102063e+23,15922883.244994285,37153394.23831999,7746448.163584656,15922883.244994285,37153394.23831999,4.84007286696296,4.84007286696296,1.0488670583801507,3.811810976457011,5.445515122276656,2021-03-01
FIL,470001,0.7,96399.76040167008,6.791693529955671e+17,2.943214557419563e+23,16612452.606615249,38762389.415435575,8114412.575415718,16612452.606615249,38762389.415435575,5.049681008008636,5.049681008008636,1.0986893436489176,3.9768883698670003,5.681343039167656,2021-03-01
FIL,490001,0.7,100810.86682852232,6.862573038318996e+17,3.0799161565306664e+23,17300507.99004702,40367851.97677638,8483662.903887678,17300507.99004702,40367851.97677638,5.258828945670167,5.258828945670168,1.1486857416950471,4.141603328999799,5.916653186067054,2021-03-01
FIL,510001,0.7,105256.56089495338,6.892234848554668e+17,3.217672705095738e+23,17987052.71929163,41969789.678347126,8855627.468610482,17987052.71929163,41969789.678347126,5.46751769034321,5.467517690343208,1.1990496466207239,4.305956649594926,6.151446699760383,2021-04-01
FIL,530001,0.7,109708.50173966955,6.965061199675348e+17,3.3564584451528855e+23,18672090.111053128,43568210.25912396,9227932.621814184,18672090.111053128,43568210.25912396,5.675748250205052,5.675748250205051,1.2494596671377702,4.469949125644819,6.385724714537319,2021-04-01
FIL,550001,0.7,114211.07086940443,7.098115746843485e+17,3.49782930638408e+23,19355623.474753637,45163121.441091806,9604286.470524777,19355623.474753637,45163121.441091806,5.883521631219499,5.883521631219498,1.3004178799691408,4.633581549398681,6.619488362197168,2021-04-01
FIL,570001,0.7,118774.17510608346,7.18689462398026e+17,3.641065021527741e+23,20037656.112549238,46754530.92928155,9985510.281672826,20037656.112549238,46754530.92928155,6.090838837141701,6.090838837141701,1.3520354844427624,4.796854711366285,6.852738772054301,2021-04-01
FIL,590001,0.7,123383.25639679738,7.262637100591802e+17,3.7860401036192616e+23,20718191.31934601,48342446.41180734,10370381.21414644,20718191.31934601,48342446.41180734,6.297700869523028,6.297700869523027,1.404146908191427,4.95976940032181,7.085477070943637,2021-05-01
FIL,610001,0.7,128009.00172705582,7.270947319480742e+17,3.931303632410909e+23,21397232.382815927,49926875.55990382,10756447.683072506,21397232.382815927,49926875.55990382,6.504108727715899,6.504108727715898,1.4564202072635417,5.122326403307646,7.317704383226086,2021-05-01
FIL,630001,0.7,132640.17754004753,7.354569191681672e+17,4.0779349956549056e+23,22074782.5834128,51507826.02796319,11142770.82602948,22074782.5834128,51507826.02796319,6.710063408878632,6.710063408878632,1.5087282599324114,5.284526505638217,7.549421830793992,2021-05-01
FIL,650001,0.7,137298.8554887296,7.385547902114486e+17,4.2253556113281286e+23,22750845.194388,53085305.45357198,11531189.814800326,22750845.194388,53085305.45357198,6.915565907980224,6.9155659079802225,1.5613200895771537,5.446370490903737,7.780630533076516,2021-05-01
FIL,670001,0.7,141972.69338865828,7.450840300805684e+17,4.3740528951403235e+23,23425423.481806327,54659321.45754809,11920672.987515423,23425423.481806327,54659321.45754809,7.120617217805172,7.120617217805171,1.6140560094500382,5.607859140974014,8.011331607045067,2021-06-01
FIL,690001,0.7,146671.7864709354,7.517875496289252e+17,4.524028237415767e+23,24098520.704561863,56229881.64397767,12312059.112543663,24098520.704561863,56229881.64397767,7.3252183289582895,7.3252183289582895,1.6670495885691698,5.768993236002242,8.241526167218707,2021-06-01
