coin,epoch,gamma,theta,curr_power,cumsum_realized,simple_fixed,baseline_fixed,baseline_fixed_walk,simple_moving,baseline_moving,simple_fixed_pct,baseline_fixed_pct,baseline_fixed_walk_pct,simple_moving_pct,baseline_moving_pct,date
FIL,10001,0.7,0.0,5.813372604038966e+17,5.813372604038966e+21,362499.64335951966,845832.5011722123,0.0,362499.64335951966,845832.5011722123,0.11018888106585438,0.11018888106585437,0.0,0.08677951714266086,0.1239723522029045,2020-10-01
FIL,240001,0.7,47275.89351171269,6.243086749980402e+17,1.4496891228290075e+23,8590156.084706156,20043697.530981023,3990172.0855848286,8590156.084706156,20043697.530981023,2.6111465335044577,2.6111465335044572,0.5402682583628462,2.0564147051354995,2.9377735264553824,2021-01-01
FIL,1290001,0.706,301462.9714660058,9.717685263447539e+17,9.732011595869637e+23,43618617.339872606,101776773.79303606,25092232.88180299,42746244.993075155,102649146.13983351,13.258734805301478,13.258734805301478,3.397481779410448,10.233109378488251,15.045125460346787,2022-01-01
FIL,2340001,0.712,617087.4717760301,1.4323758765330893e+18,2.2143431908870939e+24,74829544.312461,174602270.06240898,50487441.1320998,71836362.53996256,177595451.8349074,22.745908608467914,22.74590860846791,6.835986344593557,17.197051000462373,26.02988874747488,2023-01-01
FIL,3390001,0.718,1000402.4596671066,2.2102585223269734e+18,4.11464292026158e+24,102638986.3371109,239490968.1199254,80167702.54661381,96480647.15688425,245649307.30015203,31.199134303707616,31.199134303707616,10.85468598917874,23.09669575476557,36.004436340302746,2024-01-01
FIL,4450001,0.724,1442687.6293452773,3.2716655703047183e+18,6.994600552880867e+24,127640161.30140527,297827043.0366122,112895955.18407834,117428948.39729282,308038255.9407247,38.798732110525435,38.79873211052543,15.286082849374704,28.11155163090976,45.148687363666106,2025-01-01
FIL,5500001,0.73,1922078.6661176197,4.935554010180007e+18,1.1228282266295888e+25,149694102.4100776,349286238.95684767,146618702.4538711,146618702.4538711,364255649.1978554,45.50246034411912,45.502460344119115,19.852134023077657,35.099345436904315,53.38838312747695,2026-01-01
FIL,6550001,0.736,2454491.190289373,7.748305426404278e+18,1.7800687596624674e+25,169344521.54743025,395137216.9440039,182046760.5855069,182046760.5855069,415458559.5296955,51.475590902684885,51.475590902684885,24.64908384213568,43.580539375394125,60.893113939635946,2027-01-01
FIL,7600001,0.742,3033373.8485128526,1.185598298072646e+19,2.8115516198208205e+25,186853363.6346974,435991181.81429386,218286157.9061323,218286157.9061323,462150652.7231515,56.79774708599812,56.797747085998104,29.555888775503327,52.255961430653706,67.73670131000517,2028-01-01
FIL,8650001,0.748,3622852.6398351756,1.813364022944974e+19,4.355964508847452e+25,202454025.84419364,472392726.9697851,252894400.2734896,252894400.2734896,504785371.104856,61.53987454526808,61.53987454526808,34.24183575417127,60.540898028003255,73.98560557410389,2029-01-01
FIL,9710001,0.754,4245258.642422868,2.7707576456846602e+19,6.788997673621484e+25,216479294.13662285,505118352.9854532,287082379.99228567,287082379.99228567,544084625.9300452,65.80313010455275,65.80313010455274,38.87087927997476,68.72522710646743,79.74563614014157,2030-01-01
FIL,10760001,0.76,4857373.720291284,4.17457626992064e+19,1.0382837655712698e+26,228851210.312415,533986157.3956349,318499716.2076358,318499716.2076358,579756399.4581178,69.5638168390747,69.56381683907469,43.1247783989596,76.24628627609742,84.97399242273383,2031-01-01
FIL,11810001,0.766,5451838.250299304,6.062658946100208e+19,1.5574779493855375e+26,239874788.23839885,559707839.2229306,347053506.36357343,347053506.36357343,612480292.6353784,72.91464969989967,72.91464969989967,46.99095412930922,83.08183540756957,89.77028247401384,2032-01-01
FIL,12860001,0.772,6079979.253453642,9.695482411085867e+19,2.379687491064467e+26,249696974.9202011,582626274.8138025,375265105.5079731,375265105.5079731,642553548.7946507,75.9002961133896,75.9002961133896,50.810797286059085,89.83546674602924,94.1780727862785,2033-01-01
FIL,13910001,0.778,6729264.100393391,1.5345275642703118e+20,3.675238072414164e+26,258448702.52261305,603046972.5527637,402449974.51470554,402449974.51470554,670243635.2086431,78.56055548072506,78.56055548072504,54.49162145029731,96.34330709623625,98.23656562107371,2034-01-01
FIL,14970001,0.784,7395602.20688414,2.346693556900322e+20,5.7268274794319516e+26,266316658.76689154,621405537.1227468,428403449.14948404,417724890.9596832,682275109.0403168,80.95217519874038,80.95217519874038,58.00571513814911,100.0,100.0,2035-01-01
FIL,16020001,0.79,8042812.836516198,3.520846659984242e+20,8.797719556143482e+26,273257110.3218582,637599924.0843358,451856237.6659305,417724890.9596832,682275109.0403168,83.06186166310766,83.06186166310768,61.181216578627854,100.0,100.0,2036-01-01
FIL,17070001,0.796,8688364.621628324,5.507906432729813e+20,1.3490337920639204e+27,279441165.1982882,652029385.4626724,473644820.61166704,417724890.9596832,682275109.0403168,84.94162651189083,84.94162651189082,64.13138501943637,100.0,100.0,2037-01-01
FIL,18120001,0.802,9339269.289613573,8.462317742991686e+20,2.0744998730676895e+27,284951258.3690029,664886269.5276732,494103527.0333869,417724890.9596832,682275109.0403168,86.61652747295881,86.6165274729588,66.90148852618759,100.0,100.0,2038-01-01
FIL,19170001,0.808,9984690.866313295,1.2677125318878825e+21,3.177033321871568e+27,289860840.7314873,676341961.7068034,512995059.3748957,417724890.9596832,682275109.0403168,88.10889138815934,88.10889138815932,69.45939707174257,100.0,100.0,2039-01-01
FIL,20220001,0.8140000000000001,10596526.690100783,1.7854437027228486e+21,4.756946125271901e+27,294235358.2264231,686549169.1949872,529707743.08970636,417724890.9596832,682275109.0403168,89.43861183561346,89.43861183561347,71.72229008224451,100.0,100.0,2040-01-01
FIL,21280001,0.8200000000000001,11210255.351637525,2.6861433794547186e+21,7.132137159327524e+27,298168125.9956691,695725627.3232278,545380353.5177639,417724890.9596832,682275109.0403168,90.63405378410468,90.63405378410467,73.8443574413331,100.0,100.0,2041-01-01
FIL,22330001,0.8260000000000001,11806458.823558867,3.9933374139528013e+21,1.0569282936970414e+28,301637284.1012743,703820329.5696399,559625961.328584,417724890.9596832,682275109.0403168,91.68857247646669,91.68857247646667,75.77320901870658,100.0,100.0,2042-01-01
FIL,23380001,0.8320000000000001,12405220.022697762,5.850861599974286e+21,1.5687340029907174e+28,304728360.2265334,711032840.5285778,573023473.7352893,417724890.9596832,682275109.0403168,92.62816573061473,92.62816573061473,77.58722869984132,100.0,100.0,2043-01-01
FIL,24430001,0.8380000000000001,12994241.471499065,8.658036646438298e+21,2.3135074553575476e+28,307482559.1766212,717459304.7454494,585370257.9796911,417724890.9596832,682275109.0403168,93.46535855577274,93.46535855577274,79.25898006219569,100.0,100.0,2044-01-01
FIL,25490001,0.8440000000000001,13600888.574282719,1.2735485643566663e+22,3.4514337085957657e+28,309958632.2231997,723236808.5207992,597278017.4298681,417724890.9596832,682275109.0403168,94.21800955402273,94.21800955402271,80.87128758206244,100.0,100.0,2045-01-01
FIL,26540001,0.8500000000000001,14198432.876966663,1.9413258910805034e+22,5.118937069161046e+28,312142816.3356664,728333238.1165549,608256057.7157061,417724890.9596832,682275109.0403168,94.88193518209798,94.88193518209796,82.35771136987196,100.0,100.0,2046-01-01
FIL,27590001,0.8560000000000001,14804763.477276284,2.902340431989594e+22,7.635360608695236e+28,314088959.796902,732874239.5261046,618682526.3780159,417724890.9596832,682275109.0403168,95.4735036824137,95.47350368241369,83.7694525038976,100.0,100.0,2047-01-01
FIL,28640001,0.8620000000000001,15418071.679277845,4.48551188745465e+22,1.144251548895205e+29,315823005.178009,736920345.415354,628545387.8202751,417724890.9596832,682275109.0403168,96.00060080860892,96.00060080860888,85.10488136751324,100.0,100.0,2048-01-01
FIL,29690001,0.8680000000000001,16036962.43217709,6.503296655056164e+22,1.7206649894494984e+29,317368067.73050404,740525491.371176,637846491.0598611,417724890.9596832,682275109.0403168,96.47025289504512,96.47025289504512,86.36424831718895,100.0,100.0,2049-01-01
FIL,30740001,0.8740000000000001,16637044.605479717,9.695163083020513e+22,2.555937402449536e+29,318744743.5183077,743737734.8760511,646280549.7862227,417724890.9596832,682275109.0403168,96.88872051957212,96.8887205195721,87.506217666201,100.0,100.0,2050-01-01
FIL,31800001,0.8800000000000001,17236673.312419828,1.3839892092997677e+23,3.794926333409891e+29,319982399.1393546,746625597.9918272,654170573.2856473,417724890.9596832,682275109.0403168,97.2649302359849,97.2649302359849,88.57452478755947,100.0,100.0,2051-01-01
FIL,32850001,0.8860000000000001,17825451.88269623,2.0941023921791308e+23,5.595692883605839e+29,321074155.1955547,749173028.7896274,661428037.6197077,417724890.9596832,682275109.0403168,97.59679091621804,97.59679091621804,89.55718356311918,100.0,100.0,2052-01-01
FIL,33900001,0.8920000000000001,18418824.259131182,3.0043394505957223e+23,8.274261656040946e+29,322046927.5446945,751442830.9376203,668282139.9013463,417724890.9596832,682275109.0403168,97.89248416349997,97.89248416349996,90.48522722211816,100.0,100.0,2053-01-01
FIL,34950001,0.8980000000000001,19002416.24673479,4.479733263307757e+23,1.2158370392851666e+30,322913683.4814966,753465261.4568251,674601061.8096088,417724890.9596832,682275109.0403168,98.1559516415595,98.15595164155948,91.34080759832327,100.0,100.0,2054-01-01
FIL,36000001,0.9040000000000001,19587757.925751965,6.465545524376825e+23,1.788416991365456e+30,323685977.0758261,755267279.8435941,680544642.1122162,417724890.9596832,682275109.0403168,98.39070543669385,98.39070543669384,92.14556681914237,100.0,100.0,2055-01-01
FIL,37050001,0.9100000000000001,20165292.62314134,9.547583708360007e+23,2.6174037549362327e+30,324374103.19128495,756872907.4463314,686045924.080225,417724890.9596832,682275109.0403168,98.59987487474321,98.5998748747432,92.89043896096216,100.0,100.0,2056-01-01
FIL,38110001,0.9160000000000001,20746049.708377726,1.3626118974713697e+24,3.8382971569647757e+30,324992740.6092826,758316394.7549926,691236788.5022053,417724890.9596832,682275109.0403168,98.78792185940472,98.7879218594047,93.59328064811457,100.0,100.0,2057-01-01
FIL,39160001,0.9220000000000002,21316773.426882252,1.9852896797723474e+24,5.592111046901168e+30,325538450.689054,759589718.2744591,696025179.791475,417724890.9596832,682275109.0403168,98.95380114833063,98.9538011483306,94.24162757820304,100.0,100.0,2058-01-01
FIL,40210001,0.9280000000000002,21887200.840296276,2.9640663909691126e+24,8.14641492398632e+30,326024687.2189397,760724270.1775259,700520199.4835025,417724890.9596832,682275109.0403168,99.10160228453287,99.10160228453286,94.85025207063829,100.0,100.0,2059-01-01
FIL,41260001,0.9340000000000002,22469507.923843816,4.471032146359061e+24,1.1960906156112226e+31,326457931.85150063,761735174.320168,704827224.7957584,417724890.9596832,682275109.0403168,99.23329549351716,99.23329549351715,95.43342217314682,100.0,100.0,2060-01-01
FIL,42320001,0.9400000000000002,23079602.5161912,6.921931465273755e+24,1.7886820195236513e+31,326847426.35669047,762643994.8322777,709053660.8076551,417724890.9596832,682275109.0403168,99.35168999264113,99.35168999264113,96.00568050543245,100.0,100.0,2061-01-01
FIL,43370001,0.9460000000000002,23695862.056674708,1.033431297574247e+25,2.685349470402293e+31,327191005.7641334,763445680.1163111,713044614.7881675,417724890.9596832,682275109.0403168,99.45612769666904,99.45612769666903,96.54605463216429,100.0,100.0,2062-01-01
FIL,44420001,0.9520000000000002,24326281.71419319,1.6183816455336914e+25,4.069945938227078e+31,327497140.58738095,764159994.7038888,716856992.491109,417724890.9596832,682275109.0403168,99.54918338443832,99.54918338443832,97.06224957754787,100.0,100.0,2063-01-01
FIL,45470001,0.9580000000000002,24942483.43778359,2.358469053416479e+25,6.1093991014582555e+31,327769911.6789383,764796460.5841893,720336644.7245276,417724890.9596832,682275109.0403168,99.6320975111593,99.63209751115929,97.53339358124865,100.0,100.0,2064-01-01
FIL,46520001,0.9640000000000002,25555793.293431133,3.533045242091434e+25,9.154410009162479e+31,328012955.14455944,765363562.0039718,723573706.8879536,417724890.9596832,682275109.0403168,99.70597534253857,99.70597534253855,97.97169095282432,100.0,100.0,2065-01-01
FIL,47580001,0.9700000000000002,26171160.105496146,5.203207771710106e+25,1.3734749184111572e+32,328231455.47270465,765873396.1029774,726609586.7601755,417724890.9596832,682275109.0403168,99.77239280559512,99.7723928055951,98.38274829470929,100.0,100.0,2066-01-01
FIL,48630001,0.9760000000000002,26790360.482022326,8.054023866579424e+25,2.066272625565196e+32,328424198.1488398,766323129.0139593,729464027.6352912,417724890.9596832,682275109.0403168,99.83098072480006,99.83098072480003,98.76923884376852,100.0,100.0,2067-01-01
FIL,49680001,0.9820000000000002,27410509.34848811,1.2104561004495026e+26,3.1101106394340743e+32,328595934.99864125,766723848.3301628,732134636.1251104,417724890.9596832,682275109.0403168,99.8831835108277,99.8831835108277,99.13083853586605,100.0,100.0,2068-01-01
FIL,50730001,0.9880000000000002,28023533.977635223,1.770131179830658e+26,4.658929035586848e+32,328748955.3165652,767080895.7386521,734601594.5281117,417724890.9596832,682275109.0403168,99.92969703965802,99.92969703965802,99.46486405939125,100.0,100.0,2069-01-01
FIL,51780001,0.9940000000000002,28632471.86852197,2.5932814026559563e+26,6.960401294259395e+32,328885298.90109384,767399030.7692188,736892962.83359,417724890.9596832,682275109.0403168,99.97114134807302,99.97114134807302,99.77511472956682,100.0,100.0,2070-01-01
